Date,T2PP_Revenue,T2PP_Trans,Reservations_Revenue,Reservations_Bookings,Hub_Revenue,Hub_Trans,Valet_Rev,Valet_Trans
12/16/2018,32368.5,1458,13018,153,128639.5,4650,12360,96
12/17/2018,23373.5,1474,19491,213,103238,4700,8585,89
12/18/2018,26250.5,1865,23581,228,105585.5,5497,9470,123
12/19/2018,32977.5,1917,24716,219,105567,6089,14570,166
12/20/2018,36356.1,2174,22755,207,115450.5,7277,13005,140
12/21/2018,28296,2084,19318,169,83167.5,6999,7085,77
12/22/2018,21756,2135,17360,159,63834,6431,3630,34
12/23/2018,19547.5,1946,10279,98,69055.5,5897,3390,38
12/24/2018,14038,1317,5222,50,49879.5,4094,3170,22
12/25/2018,13117,1088,6498,56,78278,3544,4325,36
12/26/2018,26474.6,1484,13089,133,124247,5657,7370,47
12/27/2018,26683,1630,13061,141,127134,6341,7445,58
12/28/2018,25510.5,1751,9772,113,131174.5,6056,5575,51
12/29/2018,27107.5,1709,8357,87,122097,5195,7335,55
12/30/2018,29081.5,1581,6859,83,139697,5174,8145,56
12/31/2018,24292.5,1245,5924,68,126236.5,4640,6885,41
1/1/2019,26753,1247,3915,39,134091,4606,10020,67
1/2/2019,33310,1684,9809,134,138009.5,5635,9120,62
1/3/2019,25440.5,1741,9309,132,111604.5,6182,7005,60
1/4/2019,29821.5,1772,8598,138,106560.5,6203,8870,81
1/5/2019,24006,1707,8033,106,86422.5,6288,6840,47
1/6/2019,28207.5,1747,11696,179,115946.5,6135,8920,68
1/7/2019,18890,1418,11049,192,78478,4704,7655,77
1/8/2019,21383.5,1463,9631,145,77048,4468,8815,101
1/9/2019,32106.5,1412,10936,175,99863.5,4595,15395,180
1/10/2019,39323,1473,11848,164,131803,4737,15560,164
1/11/2019,41928.5,1446,10568,158,122613.5,4165,13450,124
1/12/2019,20035.5,1197,8718,116,58231.5,3181,5960,44
1/13/2019,23322.5,1190,14201,185,86750,3678,11105,83
1/14/2019,20710,1105,14044,212,73356,3128,6400,71
1/15/2019,24361.7,1204,14232,205,76762.5,3746,10120,126
1/16/2019,32622.5,1205,12328,177,95824.5,4262,16120,183
1/17/2019,46576,1453,13102,190,131332.5,4744,17280,187
1/18/2019,42774.5,1381,12697,178,125146.5,4289,15910,161
1/19/2019,19237.5,1021,8193,108,57044.5,2803,6425,58
1/20/2019,26538,1156,10169,157,86986,3463,9720,76
1/21/2019,24182,1064,13884,210,112655,3912,13275,106
1/22/2019,19502.5,1026,11917,188,76486.5,3585,9420,101
1/23/2019,28250,1114,12179,193,94904,4208,13890,155
1/24/2019,42442,1301,11345,171,121820.5,4426,18310,197
1/25/2019,47429.5,1253,12239,175,135915.5,4313,17375,172
1/26/2019,19848.5,927,8538,118,55562,2530,6175,58
1/27/2019,26898.5,1040,13902,194,102739,3213,14705,108
1/28/2019,20683,938,12394,205,79560.5,3192,8785,83
1/29/2019,26757,1117,10072,168,69009,2973,10950,115
1/30/2019,33035,1169,11667,164,97217.5,3641,13015,155
1/31/2019,46034,1369,15443,221,114234,3831,14000,149
2/1/2019,45391,1475,11868,194,113887,3731,13720,126
2/2/2019,26240.5,1188,9025,129,64909.5,2613,6360,59
2/3/2019,26668.5,1127,13179,189,83326,2583,10280,80
2/4/2019,23621.5,1027,17345,271,81857,2810,11320,95
2/5/2019,25201.5,1187,13565,188,58354.5,2898,9240,118
2/6/2019,35269,1306,16000,215,86524.5,3546,17650,199
2/7/2019,53125.5,1519,11121,172,126293,4068,20510,214
2/8/2019,51779,1479,12009,172,124823,4160,16810,150
2/9/2019,23555,1115,12293,153,54541,2249,6725,60
2/10/2019,30348,1157,16752,248,90685,2921,14370,103
2/11/2019,25237,1134,15407,241,76763.5,3139,6760,71
2/12/2019,26006.5,1181,13746,201,72020,3337,11840,144
2/13/2019,46517.5,1539,12901,173,109183,3979,18040,199
2/14/2019,52975.5,1756,14741,196,104176.5,4083,13200,130
2/15/2019,40170.5,1710,16494,229,88514.5,3863,11275,111
2/16/2019,22262.25,1248,9421,116,47771.5,2500,5840,48
2/17/2019,31977,1395,13855,176,83227,3073,10630,87
2/18/2019,44393,1503,15388,239,119733,3777,13815,92
2/19/2019,32081.5,1444,11716,178,92395,3787,10535,106
2/20/2019,35496.5,1484,12705,181,99976.5,3819,15240,176
2/21/2019,48921.25,1672,14827,210,113075.5,4044,14840,160
2/22/2019,48562.5,1563,10135,157,116598,3974,15455,137
2/23/2019,33864,1297,10366,144,68416,2575,7965,63
2/24/2019,38096.5,1334,14876,228,96723.5,3159,13565,107
2/25/2019,27884.5,1175,16256,257,70973.5,3003,9675,89
2/26/2019,26025.5,1358,14187,225,74614,3493,11265,128
2/27/2019,43988,1545,13723,202,100607,3844,18165,199
2/28/2019,54256.5,1698,15631,243,117499,4349,18160,185
3/1/2019,49370.5,1706,13284,204,116465.5,4011,14095,130
3/2/2019,26216,1457,10402,151,50997.5,2540,7480,67
3/3/2019,39387.5,1430,16533,237,100446.5,3314,18360,145
3/4/2019,31427.51,1266,18767,288,82672,3087,9325,91
3/5/2019,32175,1364,13870,212,69381.5,3361,10885,133
3/6/2019,40453.5,1439,14287,212,102433,3884,14120,161
3/7/2019,54582,1738,16639,235,117351.5,4391,18080,186
3/8/2019,54625,1845,15947,230,116157,4264,13760,130
3/9/2019,27176.5,1394,9532,131,53286.5,2836,7030,57
3/10/2019,38923.5,1383,17444,236,93191,3538,12420,99
3/11/2019,28753,1322,18537,266,83965,3318,8400,92
3/12/2019,29216,1452,14643,211,77158.5,3533,11450,149
3/13/2019,41601,1485,14853,222,95066,3967,13900,164
3/14/2019,49768,1663,14804,217,123571.5,4417,17820,194
3/15/2019,47003,1613,14295,204,116195.5,4299,13135,122
3/16/2019,25985,1407,9317,122,55828,2868,8415,77
3/17/2019,37106.25,1358,18944,273,105227.5,3725,16250,127
3/18/2019,30307,1348,19859,297,76788.5,3307,10250,96
3/19/2019,32890,1625,16311,250,76629.5,3511,9530,135
3/20/2019,42308,1653,14996,200,92836.5,3997,17965,198
3/21/2019,58106.5,1801,18305,247,113491,4359,17520,192
3/22/2019,50904.75,1821,13487,193,112873,4042,12950,130
3/23/2019,27078.5,1715,11883,151,69546.5,3459,7900,62
3/24/2019,39304,1475,18946,255,105476,3632,14970,112
3/25/2019,29912.25,1458,20716,303,78111.5,3424,9510,88
3/26/2019,34441.5,1737,18925,248,83170.5,3859,12435,132
3/27/2019,40620.25,1649,15802,208,97223,4208,12080,144
3/28/2019,46241,1658,16349,207,117830.5,4422,16570,163
3/29/2019,43657,1676,17433,219,104008.5,4189,13840,124
3/30/2019,28497,1640,13261,156,75210,3739,7080,49
3/31/2019,36925.5,1584,18364,257,109063,3929,13655,92
4/1/2019,26053.5,1547,19257,280,74235,3364,14410,154
4/2/2019,27813,1624,17668,237,65215.5,3449,19920,224
4/3/2019,43357.5,1665,16461,223,97242,3900,21680,252
4/4/2019,50826,1656,20674,277,113359.5,4281,29510,312
4/5/2019,51442,1667,19241,257,108538.5,3938,25440,238
4/6/2019,28699,1421,13831,179,80040.5,3241,12320,114
4/7/2019,41524,1462,22300,303,118048,3414,29880,220
4/8/2019,30219.5,1378,21369,293,88445,3374,21120,188
4/9/2019,33008.5,1491,16390,225,81096,3566,22290,248
4/10/2019,42909,1749,18311,239,93826,3920,34970,377
4/11/2019,58789.75,1786,20188,271,132603.5,4479,36250,366
4/12/2019,62511,1865,19654,258,124191,4197,33780,308
4/13/2019,35407.5,1804,14750,182,72589,3280,16700,132
